date,id,content,username,likeCount,retweetCount
2023-01-03 13:23:29+00:00,1610265592921030657,"Constantly searching for views that take my breath away.
Contact us today +254701867837 
Visit:https://t.co/kVU8MvkQGR
. 
#traveltuesday #destinationkenya #polishfestival #polishmusic #polishsport #polska  #polen #travel #explore #poland #warsaw #krakow #poznan #Hungary https://t.co/n7y9NoWKhT",ritahmwagira,0,0
2022-12-28 06:24:39+00:00,1607985862981058560,"Stimulate your next creative spark with a good tour and book your vacation/tave.
.
.
#TanzaniaUnforgettable #Uganda #rwanda🇷🇼 #sundowner #sunrise #Staycation #tembeakenya 
#destinationkenya #magicalkenya #cyantours #vacation #enjoyment https://t.co/aHx7Bql9t6",cyanholidays,4,3
2022-12-09 14:10:02+00:00,1601217611567484928,"@ritahcatherine at the Green tour content creators  meet up to talk on  how to promote Kenyan as a  leading green destination.
 #CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya  #cyantours #vacation #enjoyment #mombasa https://t.co/C1YmpWfYWh",cyanholidays,1,0
2022-12-05 13:28:44+00:00,1599757665290244096,"African express Airways has amazing offers on 9th of December...
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya  #cyantours #vacation #enjoyment! #mombasa https://t.co/rJYj7z6zYb",cyanholidays,2,0
2022-12-03 12:07:00+00:00,1599012321401405440,"For nature lovers that want to get away and be cut away ... Ekorian's Mugie Camp awaits you 

📷 @MugieCamp

#ecolodge #safarilodge #safariretreat #luxurysafari #kenyasafari #kenya #mugiecamp #wanderlusting #traveladventures #kenyasafaridestination #destinationkenya https://t.co/1JUX4nqqq8",MugieConserve,0,0
2022-12-03 08:01:17+00:00,1598950483640881153,"Singita Sabora Sunrise from the suite is breathtaking....
 #TanzaniaUnforgettable
#serengetinationalpark
 #CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya  #cyantours #vacation #enjoyment #mombasa https://t.co/RpRBxhTjKf",cyanholidays,1,3
2022-12-01 18:31:27+00:00,1598384297173549058,"Kenya is beautiful!
##ZuruMeruPark
#CompleteWilderness
#ZuruKenyaParks #CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa https://t.co/HrjDvBrW3q",cyanholidays,1,1
2022-11-26 15:15:04+00:00,1596522936839467008,"Kenya is beautiful!
#ZuruMeruPark
#CompleteWilderness
#ZuruKenyaParks
#magicalkenya
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya #WorldcupQatar2022 #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa https://t.co/qB2bCq8QRf",cyanholidays,2,2
2022-11-21 14:55:30+00:00,1594706073532915714,"The view! The cliff in Lake Nakuru.
Book with us today...
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya #Kenya #worldcupke #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa https://t.co/0q7aTDvoJw",cyanholidays,5,1
2022-11-18 13:36:25+00:00,1593599006822703104,"Book with us today...
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #Mombasa #kilifi https://t.co/BwDr8gVICv",cyanholidays,2,2
2022-11-18 06:25:13+00:00,1593490491429068801,"Twende Naivasha.
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa #Twitter https://t.co/rkuEKvHSQU",cyanholidays,2,2
2022-11-17 13:35:35+00:00,1593236409296760838,"The BEACH is calling! Book with @cyanholidays
#CyanHolidays #CyanHolidays #sundowner #sunrise  #Staycation #nairobi #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa https://t.co/BrsyOM54ST",cyanholidays,2,1
2022-11-17 06:49:08+00:00,1593134122943348738,"We have a Jamhuri Sale at Oltukai Lodge Amboseli. Contact us today!
#sundowner #sunrise #Staycation #tembeakenya #destinationkenya #magicalkenya #cyantours #nairobi #ruaka #mombasa #vacation #enjoyment https://t.co/ugezpmsw7P",cyanholidays,2,0
2022-11-16 12:41:54+00:00,1592860512702050304,"Book with us today...
#CyanHolidays #sundowner #sunrise  #Staycation #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa

https://t.co/FDxQXAjTof https://t.co/9VWF66Pz5G",cyanholidays,4,3
2022-11-16 05:34:44+00:00,1592753010735992832,"Twende Naivasha!

#CyanHolidays #sundowner #sunrise  #Staycation #Kenyan #tembeakenyaeakenya  #destinationkenya  #magicalkenya   #cyantours #vacation #enjoyment! #mombasa https://t.co/o2aVP5jg1j",cyanholidays,3,2
2022-11-01 08:25:50+00:00,1587360254010040322,Dave Mani is great marketing for #DestinationKenya,drizzie,6,2
2022-10-18 05:34:09+00:00,1582243615937421312,"Life is either a daring adventure or nothing at all ~ Hellen Keller
•
•
•
#traveltuesday 
#hemingwaysexpeditions 
#destinationkenya
#magicalkenya https://t.co/cRAjx4AJb3",HemingwaysExped,1,1
2022-07-23 05:32:37+00:00,1550715487767744512,"𝗚𝗿𝗲𝗮𝘁 𝗠𝗶𝗴𝗿𝗮𝘁𝗶𝗼𝗻 2022  #livecapturedmoment  #exclusivefeaturerelease  #masaimaranationalpark #wildebeestmigration #storyboardsaturday #exclusivecollection #magicalkenya #MagicalKenyaSignatureExperiences 

𝗦𝘂𝗻 𝗔𝗳𝗿𝗶𝗰𝗮 𝗛𝗼𝘁𝗲𝗹𝘀 
#destinationkenya https://t.co/D9NYFWVW4m",sunafricahotels,6,3
2022-07-22 13:33:46+00:00,1550474184354156546,"#leopards #wilderbeest

#destinationkenya #sunafricahotels #exclusivecollection #wildlifestories 

#masaimara #magicalkenya  #MagicalKenyaSignatureExperiences 

#destinationstories #storyboarding_process  #masaimaranationalreserve #magicalkenya 

🌍 https://t.co/srR94xalBS https://t.co/HoST2Isqrw",sunafricahotels,4,4
2022-07-13 15:03:46+00:00,1547235342234927107,"Launching #brickovenpizzas and #doorstepgrills at 𝗟𝗮𝗸𝗲 𝗡𝗮𝗶𝘃𝗮𝘀𝗵𝗮 𝗖𝗼𝘂𝗻𝘁𝗿𝘆 𝗖𝗹𝘂𝗯, 𝗞𝗲𝗻𝘆𝗮. 

#destinationkenya #sunafricahotels

📞+254703048200

𝗦𝘁𝗮𝘆 𝗖𝗼𝗻𝗻𝗲𝗰𝘁𝗲𝗱 
🌍 https://t.co/srR94xalBS
https://t.co/JvIhPj9o7R
https://t.co/3jZQeWSdKg https://t.co/r8K5BhBbqz",sunafricahotels,0,0
2022-07-10 16:18:56+00:00,1546167094546513924,"𝗚𝘂𝗲𝘀𝘁 𝗙𝗲𝗲𝗱𝗯𝗮𝗰𝗸 #guestreviews #emotionalmessages 💛🙏

#destinationkenya #SunAfricaHotels 
𝗦𝘂𝗻 𝗔𝗳𝗿𝗶𝗰𝗮 𝗛𝗼𝘁𝗲𝗹𝘀
𝗟𝗮𝗸𝗲 𝗡𝗮𝗶𝘃𝗮𝘀𝗵𝗮 𝗖𝗼𝘂𝗻𝘁𝗿𝘆 𝗖𝗹𝘂𝗯 

#guestsarefamilytous #servicefromtheheart❤️ #WeFeelGreat https://t.co/7NEq5FZqXg",sunafricahotels,2,1
2022-07-08 13:02:45+00:00,1545392946308071427,"𝗪𝗮𝗿𝗺 𝗚𝗿𝗲𝗲𝘁𝗶𝗻𝗴𝘀 𝗼𝗳 𝗘𝗶𝗱

𝗦𝘂𝗻 𝗔𝗳𝗿𝗶𝗰𝗮 𝗛𝗼𝘁𝗲𝗹𝘀 
#destinationkenya #sunafricahotels

#eidmubarak #happyeid #seasonsgreetings https://t.co/nLiLsbfEXW",sunafricahotels,1,0
2022-07-07 10:16:16+00:00,1544988664106782725,"ℍ𝕠𝕥𝕖𝕝 ℝ𝕖𝕧𝕚𝕖𝕨

#besthotelsmombasa #destinationkenya #sunafricahotels

𝗡𝘆𝗮𝗹𝗶 𝗦𝘂𝗻 𝗔𝗳𝗿𝗶𝗰𝗮 𝗕𝗲𝗮𝗰𝗵 𝗛𝗼𝘁𝗲𝗹 &amp; 𝗦𝗽𝗮

Thank You 🙏🧡 𝗦𝗵𝗶𝗸𝘂 𝗡𝗱𝗼𝗻𝗴𝘀'𝘀 𝗪𝗼𝗿𝗹𝗱

https://t.co/8E14a6CFYf",sunafricahotels,1,1
2022-05-01 13:11:34+00:00,1520752792008339456,"Sunday views….
Happy new month!
•
•
•
#watamu 
#hemingwayscollection
#magicalkenya
#destinationkenya
#luxuryresort
#happynewmonth https://t.co/VKjERo1te3",HwaysCollection,1,0
2022-01-29 02:17:50+00:00,1487248590162563078,Referral marketing: How @magicalkenya  can grow tourism without advertising expensively on the likes of CNN @tunajibu @TourismFund #DestinationKenya,smutoro,1,0
2022-01-09 06:09:41+00:00,1480059180123893760,"Witnessing the beauty and awe of a Mugie evening. 🌄

Photo Credit: @Ah2otexas

#familyvacation #sunsetsky #sunsetvibes #mugiedam #scenic #beautifullandscapes #landscapes #sunset #mugiecamp #laikipia #destinationkenya https://t.co/lLQwpIRcUB",MugieCamp,3,1
2021-12-10 05:51:52+00:00,1469183059526238208,"Jambo,

To do list, while you are in #DestinationKenya 

#MagicalKenya 
#TembeaKenya 
#RediscoverTheMagic 
#HappyFestiveSeason2021

🔥🔥🔥❤️💛💚👊

https://t.co/uHJyFNDN7j",KennedyGitahi,0,1
2021-10-06 05:21:57+00:00,1445620322334482434,"""Lioness Yaya moving her two young cubs and Pamoja’s remaining single cub( a little older one) to the safer place …
#wildlifephotography #MigrationSafaris #lion #lioncubs #DestinationKenya #safarikenya #visitkenya #KenyaTour #magicalkenya #Explore #africasafari #africaanimals https://t.co/aGFzvCAWeX",AardowolfA,3,2
2021-06-27 13:11:25+00:00,1409137290354569216,"🇬🇧After a #Kenyansafari it is great to #relax at a wonderful #beach.
🇩🇪Nach einer #Safari in #Kenia ist es toll an einem wunderbaren #Strand zu #entspannen.
🇪🇸Después de #safaris en Kenia es genial #relajarse en una #playa maravillosa.
#dianibeach #destinationkenya #meettheglobe https://t.co/XawkFg4V5p",meet_the_globe,112,1
2021-05-15 19:26:31+00:00,1393649010284666886,"Twende Camp Ndunda with @crownedeaglesaf this 1st June 2021. 

@crownedeaglesaf is our corporate member. Contact @david_iteyo  for your travel arrangements worldwide. #kakamegabrands #discoverkakamega #Magicalkenya  #TembeaKenya  #destinationkenya #sundayvibes https://t.co/t885uZT6LO",kakamegabrands,7,6
2021-04-20 23:01:34+00:00,1384643434900754435,"Here is a peek at the latest issue of my weekly e-zine, LUCULLAN - subscribe (https://t.co/xF7WcpCVI0) to get yours every Sunday!

Volume 84 - Kenya - So Much More

#Where2NextTravelLLC #LUCULLANEzine📖 #LuxuryTravelAdvisor #DestinationKenya🇰🇪 #GetYourPassportReady🛂 #WheelsUp✈️ https://t.co/3qPE7bmduD",Where2NextT,0,0
